Row,Column,Conexions
1,1,E
2,1,"E,S"
3,1,"N,S"
4,1,"N,S"
5,1,"N,S"
6,1,"E,N"
7,1,"E,S"
8,1,"E,N,S"
9,1,"N,S"
10,1,"N,S"
11,1,"N,S"
12,1,"N,S"
13,1,"N,S"
14,1,"N,S"
15,1,"E,N"
16,1,"E,S"
17,1,"N,S"
18,1,"N,S"
19,1,"E,N,S"
20,1,"N,S"
21,1,"N,S"
22,1,"E,N"
23,1,"E,S"
24,1,"N,S"
25,1,"E,N,S"
26,1,"N,S"
27,1,"E,N"
28,1,"E,S"
29,1,"E,N,S"
30,1,"N,S"
31,1,"N,S"
32,1,"N,S"
33,1,N
34,1,"E,S"
35,1,"N,S"
36,1,"E,N"
37,1,"E,S"
38,1,"E,N,S"
39,1,"N,S"
40,1,"N,S"
41,1,"N,S"
42,1,"N,S"
43,1,N
44,1,"E,S"
45,1,"N,S"
46,1,"N,S"
47,1,"E,N,S"
48,1,"E,N"
49,1,"E,S"
50,1,"N,S"
1,2,"W,S"
2,2,"W,N"
3,2,"E,S"
4,2,N
5,2,"E,S"
6,2,"W,N"
7,2,W
8,2,"W,S"
9,2,"E,N,S"
10,2,"E,N"
11,2,"E,S"
12,2,"E,N"
13,2,S
14,2,"E,N"
15,2,"E,W"
16,2,W
17,2,"E,S"
18,2,"E,N"
19,2,"W,S"
20,2,"E,N"
21,2,E
22,2,"E,W"
23,2,"W,S"
24,2,N
25,2,"W,S"
26,2,"E,N"
27,2,W
28,2,"E,W"
29,2,"W,S"
30,2,"N,S"
31,2,"N,S"
32,2,"N,S"
33,2,"N,S"
34,2,"W,N"
35,2,E
36,2,"W,S"
37,2,"W,N"
38,2,"E,W"
39,2,"E,S"
40,2,"N,S"
41,2,"N,S"
42,2,"N,S"
43,2,"N,S"
44,2,"W,N"
45,2,"E,S"
46,2,N
47,2,"E,W"
48,2,"W,S"
49,2,"W,N"
50,2,E
1,3,"E,S"
2,3,"E,N"
3,3,"E,W,S"
4,3,"E,N"
5,3,"E,W"
6,3,"E,S"
7,3,"N,S"
8,3,"E,N"
9,3,W
10,3,"E,W"
11,3,"E,W"
12,3,"W,S"
13,3,"N,S"
14,3,"W,N"
15,3,"W,S"
16,3,"N,S"
17,3,"W,N"
18,3,"W,S"
19,3,"N,S"
20,3,"W,N"
21,3,"E,W"
22,3,"W,S"
23,3,"N,S"
24,3,"N,S"
25,3,"E,N"
26,3,"E,W"
27,3,"E,S"
28,3,"W,N"
29,3,"E,S"
30,3,"N,S"
31,3,"N,S"
32,3,"N,S"
33,3,"E,N,S"
34,3,"E,N,S"
35,3,"W,N,S"
36,3,N
37,3,"E,S"
38,3,"W,N"
39,3,"E,W"
40,3,"E,S"
41,3,"E,N"
42,3,"E,S"
43,3,"N,S"
44,3,"N,S"
45,3,"W,N,S"
46,3,"E,N"
47,3,"E,W"
48,3,S
49,3,"E,N,S"
50,3,"W,N"
1,4,"E,W"
2,4,W
3,4,"E,W"
4,4,"W,S"
5,4,"W,N"
6,4,"E,W"
7,4,E
8,4,"W,S"
9,4,"N,S"
10,4,"W,N"
11,4,"E,W,S"
12,4,"N,S"
13,4,"E,N"
14,4,"E,S"
15,4,"E,N,S"
16,4,N
17,4,"E,S"
18,4,"E,N,S"
19,4,"N,S"
20,4,"N,S"
